City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,buraydah,26.326,43.975,26.25,12,0,1.79,SA,1726462485
119,gusinoozyorsk,51.2833,106.5,11.6,65,73,0.41,RU,1726462486
120,rio grande,-32.035,-52.0986,14.12,81,27,2.77,BR,1726462487
121,klyuchi,52.2667,79.1667,8.07,47,2,6.68,RU,1726462488
122,punta arenas,-53.15,-70.9167,4.06,81,40,7.72,CL,1726462489
123,paramonga,-10.6667,-77.8333,16.22,87,90,2.51,PE,1726462490
124,suva,-18.1416,178.4415,26.71,78,75,3.09,FJ,1726462491
125,kapuskasing,49.4169,-82.4331,20.05,83,20,3.09,CA,1726462492
126,bubaque,11.2833,-15.8333,25.52,88,100,7.88,GW,1726462493
127,estacion coahuila,32.1939,-115.0017,30.04,42,0,5.24,MX,1726462495
128,tazovsky,67.4667,78.7,12.12,74,75,7.16,RU,1726462496
129,usinsk,65.9939,57.5281,16.36,82,96,4.98,RU,1726462497
130,oranjemund,-28.55,16.4333,11.12,91,13,4.97,NA,1726462498
131,carolina beach,34.0352,-77.8936,22.79,92,100,12.79,US,1726462499
132,cabo san lucas,22.8909,-109.9124,25.42,88,51,4.47,MX,1726462500
133,verdun,49.25,5.3333,12.41,83,100,1.86,FR,1726462501
134,enewetak,11.3474,162.3373,28.28,82,87,7.42,MH,1726462502
135,iskateley,67.6803,53.1512,16.65,64,95,3.65,RU,1726462503
136,n'zeto,-7.2312,12.8666,22.5,91,100,2.52,AO,1726462505
137,talnakh,69.4865,88.3972,4.1,84,100,4.08,RU,1726462506
138,namdrik,5.5994,168.1028,28.38,68,59,1.54,MH,1726462507
139,kodiak,57.79,-152.4072,12.73,58,75,2.57,US,1726462508
140,linkou,45.3,130.2833,14.57,74,100,3.42,CN,1726462509
141,shalqar,47.8333,59.6,19.56,40,81,8.73,KZ,1726462510
142,tual,-5.6667,132.75,26.68,85,87,6.01,ID,1726462511
143,ankang,32.68,109.0172,29.03,57,81,2.68,CN,1726462512
144,aioun,16.6614,-9.6149,27.92,64,81,3.53,MR,1726462514
145,pajara,28.3504,-14.1076,19.73,84,46,3.19,ES,1726462515
146,thunder bay,48.4001,-89.3168,19.99,94,75,1.54,CA,1726462516
147,tottori,35.5,134.2333,31.04,74,20,6.17,JP,1726462517
148,kingston,17.997,-76.7936,29.53,79,20,1.54,JM,1726462518
149,olonkinbyen,70.9221,-8.7187,2.51,96,100,10.91,SJ,1726462519
150,katsuura,35.1333,140.3,26.9,87,74,6.96,JP,1726462520
151,yeed,4.55,43.0333,24.9,62,11,8.04,SO,1726462521
152,lake havasu city,34.4839,-114.3224,32.0,17,0,2.57,US,1726462522
153,mizdah,31.4451,12.9801,19.9,74,2,3.82,LY,1726462524
154,mount gambier,-37.8333,140.7667,11.99,60,95,4.04,AU,1726462525
155,fortuna,40.5982,-124.1573,14.96,91,100,4.12,US,1726462526
156,taoudenni,22.6783,-3.9836,33.64,22,57,2.56,ML,1726462527
157,sao vicente,-23.9631,-46.3919,18.32,26,100,1.55,BR,1726462528
158,flying fish cove,-10.4217,105.6791,27.82,74,20,4.63,CX,1726462529
159,belen,36.4891,36.2233,20.08,73,40,3.09,TR,1726462530
160,yinzhu,35.8786,119.9753,27.41,62,0,3.37,CN,1726462531
161,stanley,54.868,-1.6985,6.01,95,56,2.06,GB,1726462532
162,chibougamau,49.9168,-74.3659,16.79,88,0,3.09,CA,1726462534
163,tupiza,-21.45,-65.7167,3.46,82,0,1.35,BO,1726462535
164,sinabang,2.4803,96.3801,26.84,79,100,0.09,ID,1726462536
165,ancud,-41.8697,-73.8203,6.23,87,3,0.79,CL,1726462537
166,st. john's,47.5649,-52.7093,8.64,87,38,0.89,CA,1726462538
167,semnan,35.5729,53.3971,21.79,44,29,1.48,IR,1726462539
168,tobruk,32.0836,23.9764,22.59,59,0,5.66,LY,1726462540
169,jwaneng,-24.6004,24.7303,21.38,8,97,2.03,BW,1726462541
170,vilyuchinsk,52.9306,158.4028,15.15,58,26,11.34,RU,1726462542
171,guerrero negro,27.9769,-114.0611,19.23,77,0,5.85,MX,1726462545
172,susuman,62.7833,148.1667,2.9,58,100,3.09,RU,1726462546
173,las tablas,7.7667,-80.2833,26.18,89,87,1.99,PA,1726462547
174,acapulco de juarez,16.8634,-99.8901,25.61,83,96,1.28,MX,1726462548
175,pacific grove,36.6177,-121.9166,15.82,90,20,3.09,US,1726462549
176,polyarnyy,69.1989,33.4478,9.94,97,100,1.59,RU,1726462550
177,yuzhno-kurilsk,44.0306,145.8556,18.29,54,13,2.76,RU,1726462551
178,turpan,42.9333,89.1667,29.99,17,0,2.67,CN,1726462554
179,horta,38.5333,-28.6333,21.12,93,88,3.58,PT,1726462555
180,ust-nera,64.5667,143.2,5.89,57,86,0.62,RU,1726462556
181,happy valley-goose bay,53.3168,-60.3315,9.17,93,75,2.57,CA,1726462557
182,hsinchu,24.8036,120.9686,34.63,65,94,3.13,TW,1726462558
183,amahai,-3.3333,128.9167,27.58,77,68,2.79,ID,1726462559
184,dudinka,69.4058,86.1778,7.23,76,97,7.17,RU,1726462560
185,mandalgovi,45.7625,106.2708,15.68,29,0,4.66,MN,1726462561
186,pangody,65.85,74.4859,13.32,63,77,7.8,RU,1726462562
187,mar del plata,-38.0023,-57.5575,8.82,78,21,0.89,AR,1726462564
188,puerto ayora,-0.7393,-90.3518,20.86,94,63,3.13,EC,1726462565
189,magadan,59.5667,150.8,9.65,60,62,1.55,RU,1726462566
190,tura,25.5198,90.2201,26.08,85,100,0.75,IN,1726462567
191,robore,-18.3333,-59.75,19.18,60,45,1.57,BO,1726462568
192,broken hill,-31.95,141.4333,17.55,21,0,6.91,AU,1726462569
193,manokwari,-0.8667,134.0833,29.15,71,23,3.0,ID,1726462570
194,port douglas,-16.4833,145.4667,23.56,78,100,7.99,AU,1726462571
195,concordia,-31.393,-58.0209,10.44,81,4,0.89,AR,1726462572
196,jacksonville,30.3322,-81.6556,25.06,91,100,7.2,US,1726462575
197,kakonko,-3.2828,30.9642,20.79,31,25,0.84,TZ,1726462576
198,ingeniero jacobacci,-41.3427,-69.5448,4.49,64,44,4.53,AR,1726462577
199,garrett,41.3495,-85.1355,18.88,76,0,0.45,US,1726462578
200,bridlington,54.0831,-0.1919,10.01,86,79,1.79,GB,1726462579
201,gorontalo,0.5412,123.0595,30.58,60,97,4.03,ID,1726462580
202,hammerfest,70.6634,23.6821,9.25,66,0,2.06,NO,1726462581
203,williams lake,52.1415,-122.1445,11.76,91,20,3.09,CA,1726462502
204,portland,45.5234,-122.6762,15.06,81,21,1.79,US,1726462174
205,fale old settlement,-9.3852,-171.2468,28.18,77,92,5.19,TK,1726462585
206,baiyin,36.5583,104.2081,15.38,78,100,1.61,CN,1726462586
207,leer,53.2316,7.461,10.53,93,63,2.02,DE,1726462587
208,arteche,12.2645,125.4048,25.71,88,100,4.16,PH,1726462588
209,nguigmi,14.2495,13.1092,29.05,57,100,4.83,NE,1726462589
210,topeka,39.0483,-95.678,24.48,71,0,2.57,US,1726462590
211,mu'minobod,38.1085,70.0285,18.35,20,75,2.62,TJ,1726462591
212,invercargill,-46.4,168.35,6.12,91,100,2.68,NZ,1726462592
213,ola,59.5833,151.2833,10.73,54,63,4.43,RU,1726462594
214,bardai,11.65,7.2333,21.28,94,44,2.0,NG,1726462595
215,sernancelhe,40.921,-7.5123,13.07,36,1,2.67,PT,1726462596
216,cottage grove,44.8277,-92.9438,24.69,80,0,2.06,US,1726462597
217,papatowai,-46.5619,169.4708,8.73,69,98,6.31,NZ,1726462598
218,taroa,8.7058,171.2275,28.25,71,52,0.69,MH,1726462599
219,nhamunda,-2.1861,-56.7131,25.94,55,0,1.62,BR,1726462602
220,gamay,12.3854,125.2979,24.7,92,100,4.99,PH,1726462603
221,kailua-kona,19.6406,-155.9956,28.09,86,8,1.19,US,1726462496
222,anna regina,7.2644,-58.5077,27.36,80,8,3.18,GY,1726462605
223,lihue,21.9789,-159.3672,26.77,76,20,7.2,US,1726462579
224,nuuk,64.1835,-51.7216,2.71,93,22,0.89,GL,1726462607
225,kavaratti,10.5669,72.642,26.87,84,71,4.42,IN,1726462608
226,mount isa,-20.7333,139.5,30.87,18,0,4.63,AU,1726462609
227,newman,37.3138,-121.0208,18.35,52,90,1.34,US,1726462611
228,mossel bay,-34.1831,22.146,12.96,73,100,3.58,ZA,1726462613
229,kohlu,29.8962,69.252,27.84,36,0,1.19,PK,1726462614
230,labytnangi,66.6572,66.4183,18.42,73,67,4.89,RU,1726462615
231,ayr,55.4627,-4.6339,8.61,93,75,3.6,GB,1726462616
232,horn,51.8715,8.9451,11.14,95,98,1.24,DE,1726462617
233,chonchi,-42.6128,-73.8092,2.97,95,7,0.95,CL,1726462618
